samples,proportion,diff
39,60,0.04188712522045855
39,70,0.04254850088183421
39,80,0.04651675485008819
39,90,0.03461199294532628
40,50,0.046296296296296294
40,60,0.04188712522045855
40,70,0.04254850088183421
40,80,0.04651675485008819
40,90,0.03461199294532628
41,50,0.046296296296296294
41,60,0.04497354497354498
41,70,0.04254850088183421
41,80,0.04651675485008819
41,90,0.03461199294532628
42,50,0.046296296296296294
42,60,0.04497354497354498
42,70,0.04254850088183421
42,80,0.04850088183421516
42,90,0.03461199294532628
43,50,0.046296296296296294
43,60,0.04497354497354498
43,70,0.04254850088183421
43,80,0.05114638447971781
43,90,0.03527336860670194
44,50,0.046296296296296294
44,60,0.04497354497354498
44,70,0.04254850088183421
44,80,0.05114638447971781
44,90,0.03527336860670194
45,50,0.046296296296296294
45,60,0.04563492063492064
45,70,0.04563492063492064
45,80,0.05114638447971781
45,90,0.03527336860670194
46,50,0.046296296296296294
46,60,0.04497354497354498
46,70,0.046075837742504414
46,80,0.05114638447971781
46,90,0.03527336860670194
47,50,0.046296296296296294
47,60,0.04563492063492064
47,70,0.04563492063492064
47,80,0.05114638447971781
47,90,0.037037037037037035
48,50,0.046296296296296294
48,60,0.04872134038800705
48,70,0.04585537918871253
48,80,0.05114638447971781
48,90,0.03835978835978836
49,50,0.046296296296296294
49,60,0.04872134038800705
49,70,0.04894179894179894
49,80,0.05114638447971781
49,90,0.03835978835978836
50,50,0.046296296296296294
50,60,0.04872134038800705
50,70,0.04894179894179894
50,80,0.05114638447971781
50,90,0.03835978835978836
51,50,0.046296296296296294
51,60,0.04872134038800705
51,70,0.04894179894179894
51,80,0.05114638447971781
51,90,0.04100529100529101
52,50,0.046296296296296294
52,60,0.049603174603174593
52,70,0.05114638447971781
52,80,0.05114638447971781
52,90,0.04320987654320988
53,50,0.046296296296296294
53,60,0.049603174603174593
53,70,0.05114638447971781
53,80,0.052469135802469126
53,90,0.04365079365079364
54,50,0.046296296296296294
54,60,0.049603174603174593
54,70,0.05423280423280423
54,80,0.05423280423280423
54,90,0.04320987654320988
55,50,0.046296296296296294
55,60,0.051587301587301584
55,70,0.05423280423280423
55,80,0.05423280423280423
55,90,0.043650793650793655
56,50,0.046296296296296294
56,60,0.05224867724867725
56,70,0.05423280423280423
56,80,0.05423280423280423
56,90,0.04320987654320988
57,50,0.046296296296296294
57,60,0.05423280423280423
57,70,0.05423280423280423
57,80,0.05423280423280423
57,90,0.042328042328042326
58,50,0.046296296296296294
58,60,0.05423280423280423
58,70,0.05423280423280423
58,80,0.05798059964726631
58,90,0.043650793650793655
59,50,0.046296296296296294
59,60,0.05423280423280423
59,70,0.05423280423280423
59,80,0.05798059964726631
59,90,0.04497354497354497
60,50,0.046296296296296294
60,60,0.0564373897707231
60,70,0.055555555555555546
60,80,0.05798059964726631
60,90,0.04320987654320988
61,50,0.04717813051146384
61,60,0.0564373897707231
61,70,0.05511463844797177
61,80,0.05798059964726631
61,90,0.05136684303350969
62,50,0.0480599647266314
62,60,0.0564373897707231
62,70,0.05731922398589064
62,80,0.05798059964726631
62,90,0.05070546737213403
63,50,0.0480599647266314
63,60,0.0564373897707231
63,70,0.05731922398589064
63,80,0.05842151675485008
63,90,0.05202821869488536
